field_name,local_name,version,field_order,controlled,max_length,xsd_type,text
GlobalUniqueIdentifier,GlobalUniqueIdentifier,BMDE2.00,1,Required,128,xsd:string,"A universal resource name for the global unique identifier for the specimen or observation record. The identifier should be the complete Uniform Resource Name (URN) for the record. In the absence of a persistent global unique identifier, construct one in the form ""URN:catalog:[InstitutionCode]:[CollectionCode]:[CatalogNumber]""."
DateLastModified,DateLastModified,BMDE2.00,2,ISO 8601,32,xsd:dateTime,"The last time when any of the data for the record were modified. Returns values as ISO 861 date and time in UTC(GMT). (see http://www.w3.org/TR/NOTE-datetime). Data sources should use a native datetime data type, if possible."
BasisOfRecord,BasisOfRecord,BMDE2.00,3,Strong,20,xsd:string,A descriptive term indicating whether the record represents an object or observation
InstitutionCode,InstitutionCode,BMDE2.00,4,No,32,xsd:string,"The code (or acronym) identifying the institution administering the collection in which the organism record is cataloged. No global registry exists for institutional codes; use the code that is ""standard"" in your discipline."
CollectionCode,CollectionCode,BMDE2.00,5,No,32,xsd:string,The code (or acronym) identifying the collection within the institution in which the organism record is cataloged (not applicable to AKNS).
CatalogNumber,CatalogNumber,BMDE2.00,6,No,64,xsd:string,"The alphanumeric value identifying an individual organism record within the collection. It is highly recommended that each record is uniquely identified within a collection by this value. It is also recommended that each record is universally uniquely identified by the combination of InstitutionCode, CollectionCode and CatalogNumber."
ScientificName,ScientificName,BMDE2.00,7,No,100,xsd:string,The full name of the lowest level taxon to which the organism can be identified.
HigherTaxon,HigherTaxon,BMDE2.00,8,No,150,xsd:string,"The combination of names of taxonomic ranks less specific than Genus. ""Like"" query operations on this element will search for a substring that might be in any of the higher taxonomy elements."
Kingdom,Kingdom,BMDE2.00,9,Weak,32,xsd:string,The name of the kingdom in which the organism is classified.
Phylum,Phylum,BMDE2.00,10,Weak,32,xsd:string,The name of the phylum (or division) in which the organism is classified.
Class,Class,BMDE2.00,11,Weak,32,xsd:string,The name of the class in which the organism is classified.
Order,OrderTaxon,BMDE2.00,12,Weak,50,xsd:string,The name of the order in which the organism is classified.
Family,Family,BMDE2.00,13,Weak,50,xsd:string,The name of the family in which the organism is classified.
Genus,Genus,BMDE2.00,14,Weak,40,xsd:string,The name of the genus in which the organism is classified.
SpecificEpithet,SpecificEpithet,BMDE2.00,15,Weak,40,xsd:string,The specific epithet of the scientific name applied to the organism.
InfraspecificRank,InfraspecificRank,BMDE2.00,16,Weak,40,xsd:string,"The infraspecific rank (subspecies, variety, forma) of the InfraspecificEpithet."
InfraspecificEpithet,InfraspecificEpithet,BMDE2.00,17,No,50,xsd:string,The infraspecific epithet of the scientific name applied to the object or observation.
ScientificNameAuthor,ScientificNameAuthor,BMDE2.00,18,No,50,xsd:string,The author of the ScientificName. Can be more than one author in a concatenated string. Should be formatted according to the conventions of the applicable taxonomic discipline.
IdentificationQualifier,IdentificationQualifier,BMDE2.00,19,No,50,xsd:string, A standard term to qualify the identification of the organism when doubts have arisen as to its identity.
HigherGeography,HigherGeography,BMDE2.00,20,No,50,xsd:string,"The combination of all geographic elements less specific than locality. ""Like"" query operations on this element will search for a substring that might be in any of the higher geography elements."
Continent,Continent,BMDE2.00,21,Weak,32,xsd:string,"The full, unabbreviated name of the continent from which the organism was collected."
WaterBody,WaterBody,BMDE2.00,22,No,50,xsd:string,"The full, unabbreviated name of the body of water from which the organism was collected."
IslandGroup,IslandGroup,BMDE2.00,23,No,50,xsd:string,"The full, unabbreviated name of the island group from which the organism was collected."
Island,Island,BMDE2.00,24,No,50,xsd:string,"The full, unabbreviated name of the island from which the organism was collected."
Country,Country,BMDE2.00,25,Weak,64,xsd:string,"The full, unabbreviated name of the country or major political unit from which the organism was collected."
StateProvince,StateProvince,BMDE2.00,26,Weak,64,xsd:string,"The full, unabbreviated name of the state, province, or region (i.e., the next smaller political region than Country) from which the organism was collected."
County,County,BMDE2.00,27,Weak,50,xsd:string,"The full, unabbreviated name of the county, shire, or municipality (i.e., the next smaller political region than StateProvince) from which the organism was collected."
Locality,Locality,BMDE2.00,28,No,128,xsd:string,"The description of the locality where the organism was collected or the study area where it was observed. Need not contain geographic information provided in other geographic fields. Localities usually contain one or more places where observations/collections were made, identified by RouteIdentifiers (see below)."
MinimumElevationInMeters,MinimumElevationInMeters,BMDE2.00,29,Numeric,12,xsd:double,The minimum altitude in meters above (positive) or below (negative) sea level of the collecting locality.
MaximumElevationInMeters,MaximumElevationInMeters,BMDE2.00,30,Numeric,12,xsd:double,The maximum altitude in meters above (positive) or below (negative) sea level of the collecting locality.
MinimumDepthInMeters,MinimumDepthInMeters,BMDE2.00,31,Numeric,12,xsd:double,The minimum depth in meters below the surface of the water at which the collection was made; all material collected was at least this deep. Use positive values for locations below the surface.
MaximumDepthInMeters,MaximumDepthInMeters,BMDE2.00,32,Numeric,12,xsd:double,The maximum depth in meters below the surface of the water at which the collection was made; all material collected was at most this deep. Use positive values for locations below the surface.
DecimalLatitude,DecimalLatitude,BMDE2.00,33,NumericRange,12,xsd:double,"The latitude of the location from which the organism was collected, expressed in decimal degrees."
DecimalLongitude,DecimalLongitude,BMDE2.00,34,NumericRange,12,xsd:double,"The longitude of the location from which the organism was collected, expressed in decimal degrees."
GeodeticDatum,GeodeticDatum,BMDE2.00,35,Weak,12,xsd:string,"The geodetic datum to which the latitude and longitude refer. If not known, use ""not recorded"". This concept should be vocabulary-controlled."
CoordinateUncertaintyInMeters,CoordinateUncertaintyInMeters,BMDE2.00,36,Numeric,12,xsd:double,"The upper limit of the distance (in meters) from the given latitude and longitude describing a circle within which the whole of the described locality must lie. Use NULL where the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates)."
YearCollected,YearCollected,BMDE2.00,37,Integer,12,xsd:gYear,The four digit year in the Common Era calendar in which the organism was collected from the field.
MonthCollected,MonthCollected,BMDE2.00,38,Integer,12,xsd:gMonth,The two digit month of year in the Common Era calendar during which the organism was collected from the field.
DayCollected,DayCollected,BMDE2.00,39,Integer,12,xsd:gDay,The two digit day of the month in the Common Era calendar during which the organism was collected from the field.
TimeCollected,TimeCollected,BMDE2.00,40,NumericRange,12,xsd:double,"The time of day the object or observation was collected from the field, expressed as decimal hours from midnight, local time (e.g., 12. = noon, 13.5 = 1:3pm)."
JulianDay,JulianDay,BMDE2.00,41,IntegerRange,12,xsd:string,"The ordinal day of the year (the number of days since December 31 of the previous year) on which the object or observation was collected. This value is derived from the YearCollected, MonthCollected, and DayCollected by the provider software."
Collector,Collector,BMDE2.00,42,No,80,xsd:string,The name(s) of the collector(s) of the original data for the object or observation.
Sex,Sex,BMDE2.00,43,Weak,12,xsd:string,The sex of a biological individual represented by the cataloged object or observation
LifeStage,LifeStage,BMDE2.00,44,Weak,20,xsd:string,"The age class, reproductive stage, or life stage of the biological individual referred to by the record."
ImageURL,ImageURL,BMDE2.00,45,No,150,xsd:string,A reference to digital images associated with the specimen or observation.
RelatedInformation,RelatedInformation,BMDE2.00,46,No,-1,xsd:string,"Free text references to information not delivered via the conceptual schema (e.g., URLs to specimen details, photographs, publications, etc.)."
CollectorNumber,CollectorNumber,BMDE2.00,47,No,32,xsd:string,An identifying string applied to the object or observation at the time of collection. Serves as a link between field notes and the object or observation.
FieldNumber,FieldNumber,BMDE2.00,48,No,32,xsd:string,An identifying string applied to a set of objects or observations resulting from a single collecting event.
FieldNotes,FieldNotes,BMDE2.00,49,No,-1,xsd:string,"A flag marking the existence of, or a reference to, notes taken in the field for the object or observation."
OriginalCoordinatesSystem,OriginalCoordinatesSystem,BMDE2.00,50,Weak,32,xsd:string,The name of the system in which the original geographic coordinates were recorded.
LatLongComments,LatLongComments,BMDE2.00,51,No,-1,xsd:string,Comments about the geographic coordinate determination.
GeoreferenceMethod,GeoreferenceMethod,BMDE2.00,52,No,50,xsd:string,A reference to the methods used for determining the coordinates and uncertainties.
GeoreferenceReferences,GeoreferenceReferences,BMDE2.00,53,No,64,xsd:string,"A list of maps, gazetteers or other resources used to georeference the locality. The content of this concept is meant to be specific enough to allow anyone in the future to use the same resource to georeference the same locality."
GeoreferenceVerificationStatus,GeoreferenceVerificationStatus,BMDE2.00,54,No,12,xsd:string,The extent to which the georeference has been verified to represent the location where the specimen or observation was collected.
Remarks,Remarks,BMDE2.00,55,No,-1,xsd:string,Free text comments accompanying the object or observation record.
FootprintWKT,FootprintWKT,BMDE2.00,56,No,-1,xsd:string,"A Well-Known Text (WKT) representation of the shape (footprint, geometry) that defines the Location. A Location may have both a point-radius representation (see DecimalLatitude) and a footprint representation, and they may differ from each other."
FootprintSRS,FootprintSRS,BMDE2.00,57,No,-1,xsd:string,"A Well-Known Text (WKT)  representation of the Spatial Reference System (SRS) for the footprintWKT of the Location. Do not use this term to describe the SRS of the decimalLatitude and decimalLongitude, even if it is the same as for the footprintWKT - use the geodeticDatum instead."
ProjectCode,ProjectCode,BMDE2.00,58,No,32,xsd:string,The code (or acronym) identifying the project within the institution during which the observation was made.
ProtocolType,ProtocolType,BMDE2.00,59,Weak,50,xsd:string,Broad category of protocol employed to make this observation
ProtocolCode,ProtocolCode,BMDE2.00,60,No,50,xsd:string,"The code (or acronym) identifying the protocol used to collect the observation data, using standards defined within your discipline. This code is more specific to your exact protocol than the ProtocolType."
ProtocolSpeciesTargeted,ProtocolSpeciesTargeted,BMDE2.00,61,No,-1,xsd:string,A short description of the species or taxonomic group(s) targeted by the survey protocol.
ProtocolReference,ProtocolReference,BMDE2.00,62,No,64,xsd:string,A published reference describing the protocol used to collect the observation data.
ProtocolURL,ProtocolURL,BMDE2.00,63,No,64,xsd:string,The URL of the reference describing the protocol used to collect the observation data.
SurveyAreaIdentifier,SurveyAreaIdentifier,BMDE2.00,64,No,64,xsd:string,"A unique identifier (alphanumeric) identifying the geographic site (point count, area search plot, nest box number, colony number, etc.) at which the observation was made. The identifier must uniquely identify a site within each project and may often be contained within a Route and/or a Locality. "
SurveyAreaSize,SurveyAreaSize,BMDE2.00,65,Numeric,12,xsd:string,Size (ha) of the survey area.
SurveyAreaPercentageCovered,SurveyAreaPercentageCovered,BMDE2.00,66,Percent,12,xsd:string,Percentage of the SurveyAreaSize actually covered during the sampling event. A missing value is assumed to represent 100%. The value can be smaller for example in cases where the presence of a shoreline reduces the effective size of the normal sampling plot.
SurveyAreaShape,SurveyAreaShape,BMDE2.00,67,Weak,32,xsd:string,Shape of the survey area covered by the observation event.
SurveyAreaLongAxisLength,SurveyAreaLongAxisLength,BMDE2.00,68,Numeric,12,xsd:string,"Length (m) of the long axis of the survey area. In the case of a rectangle, this is equal to the size of the longest side. In the case of a circle, this is equal to the diameter."
SurveyAreaShortAxisLength,SurveyAreaShortAxisLength,BMDE2.00,69,Numeric,12,xsd:string,"Length (m) of the short axis of the survey area. The short axis must be perpendicular to the long axis. In the case of a rectangle, this is equal to the size of the shortest side. In the case of a square or a circle, the short axis is equal to the long axis. In the case of a half circle, this is equal to the radius."
SurveyAreaLongAxisOrientation,SurveyAreaLongAxisOrientation,BMDE2.00,70,Degrees,12,xsd:string,"Orientation (decimal degrees, relative to true north) of the long axis of the survey area."
CoordinatesScope,CoordinatesScope,BMDE2.00,71,Weak,50,xsd:string,"Geographic scope of the coordinates, indicating whether they represent the location of the individual sampling event, the route, or another broader geographic area."
SamplingEventIdentifier,SamplingEventIdentifier,BMDE2.00,72,No,50,xsd:string,"A unique identifier identifying the sampling event during which  or more observations were made. The identifier must uniquely identify a sampling event within each project, and can be any combinations of characters. A sampling event is defined as an attempt to observe birds during a specified amount of time (between TimeObservationsStarted and TimeObservationsEnded) at a location (identified by SurveyAreaIdentifier). Note that data for which the concept of a SamplingEvent refers to different types of SurveyAreas should not be mixed within a single BMDE resource."
SamplingEventStructure,SamplingEventStructure,BMDE2.00,73,Weak,50,xsd:string,"Describes the structure of the SamplingEventIdentifier in a way that expresses the relationship between the sampling hierarchical levels (eg, for a stratified survey design, such as plots within quadrats within area or stops within routes). Ideally, the SamplingEventIdentifier should be composed in such a way to allows to identify these various sampling levels, and separating those by a dash. (eg, Route-Stop-UniqueID, or Site-Year-Month-Day)."
RouteIdentifier,RouteIdentifier,BMDE2.00,74,No,20,xsd:string,"A unique identifier for a route, transect, set of nets, or any higher organizational unit that is comprised of 1 or more SurveyAreas, traps, or nets."
TimeObservationsStarted,TimeObservationsStarted,BMDE2.00,75,Time,12,xsd:string,"The time of day the entire observation event started (this may be different from the time when the observation represented by this single record was made), expressed as decimal hours from midnight, local time (e.g., 12. = noon, 13.5 = 1:3pm)."
TimeObservationsEnded,TimeObservationsEnded,BMDE2.00,76,Time,12,xsd:string,"The time of day the entire observation event ended (this may be different from the time when the observation represented by this single record was made), expressed as decimal hours from midnight, local time (e.g., 12. = noon, 13.5 = 1:3pm)."
DurationInHours,DurationInHours,BMDE2.00,77,Numeric,12,xsd:string,"The total duration of the entire observation event during which this particular observation was made, expressed as decimal hours."
TimeIntervalStarted,TimeIntervalStarted,BMDE2.00,78,Numeric,12,xsd:string,"Time (decimal hours) of the start of the interval where this observation was made, relative to the start of the entire observation event. "
TimeIntervalEnded,TimeIntervalEnded,BMDE2.00,79,Numeric,12,xsd:string,"Time (decimal hours) of the end of the interval when this observation was made, relative to the start of the entire observation event. "
TimeIntervalsAdditive,TimeIntervalsAdditive,BMDE2.00,80,Strong,8,xsd:string,"Indicates whether values in ObservationCount can be added together accross different time intervals (Yes or No). ""Yes"" = only new individuals are reported in each interval. ""No"" means = all individuals are reported within each interval."
NumberOfObservers,NumberOfObservers,BMDE2.00,81,Integer,12,xsd:string,The total number of observers who participated in the observation event.
EffortMeasurement1,EffortMeasurement1,BMDE2.00,82,No,12,xsd:string,A measure of the effort that was devoted to the observation event (up to 18 measures can be specified). Units are defined by the matching EffortUnits field.
EffortUnits1,EffortUnits1,BMDE2.00,83,No,50,xsd:string,Units of measurement for the matching effort field.
EffortMeasurement2,EffortMeasurement2,BMDE2.00,84,No,12,xsd:string,A measure of the effort that was devoted to the observation event (up to 18 measures can be specified). Units are defined by the matching EffortUnits field.
EffortUnits2,EffortUnits2,BMDE2.00,85,No,50,xsd:string,Units of measurement for the matching effort field.
EffortMeasurement3,EffortMeasurement3,BMDE2.00,86,No,12,xsd:string,A measure of the effort that was devoted to the observation event (up to 18 measures can be specified). Units are defined by the matching EffortUnits field.
EffortUnits3,EffortUnits3,BMDE2.00,87,No,50,xsd:string,Units of measurement for the matching effort field.
EffortMeasurement4,EffortMeasurement4,BMDE2.00,88,No,12,xsd:string,A measure of the effort that was devoted to the observation event (up to 18 measures can be specified). Units are defined by the matching EffortUnits field.
EffortUnits4,EffortUnits4,BMDE2.00,89,No,50,xsd:string,Units of measurement for the matching effort field.
EffortMeasurement5,EffortMeasurement5,BMDE2.00,90,No,12,xsd:string,A measure of the effort that was devoted to the observation event (up to 18 measures can be specified). Units are defined by the matching EffortUnits field.
EffortUnits5,EffortUnits5,BMDE2.00,91,No,50,xsd:string,Units of measurement for the matching effort field.
EffortMeasurement6,EffortMeasurement6,BMDE2.00,92,No,12,xsd:string,A measure of the effort that was devoted to the observation event (up to 18 measures can be specified). Units are defined by the matching EffortUnits field.
EffortUnits6,EffortUnits6,BMDE2.00,93,No,50,xsd:string,Units of measurement for the matching effort field.
EffortMeasurement7,EffortMeasurement7,BMDE2.00,94,No,12,xsd:string,A measure of the effort that was devoted to the observation event (up to 18 measures can be specified). Units are defined by the matching EffortUnits field.
