field_name,local_name,version,field_order,controlled,max_length,xsd_type,text
EffortUnits7,EffortUnits7,BMDE2.00,95,No,50,xsd:string,Units of measurement for the matching effort field.
EffortMeasurement8,EffortMeasurement8,BMDE2.00,96,No,12,xsd:string,A measure of the effort that was devoted to the observation event (up to 18 measures can be specified). Units are defined by the matching EffortUnits field.
EffortUnits8,EffortUnits8,BMDE2.00,97,No,50,xsd:string,Units of measurement for the matching effort field.
EffortMeasurement9,EffortMeasurement9,BMDE2.00,98,No,12,xsd:string,A measure of the effort that was devoted to the observation event (up to 18 measures can be specified). Units are defined by the matching EffortUnits field.
EffortUnits9,EffortUnits9,BMDE2.00,99,No,50,xsd:string,Units of measurement for the matching effort field.
EffortMeasurement10,EffortMeasurement10,BMDE2.00,100,No,12,xsd:string,A measure of the effort that was devoted to the observation event (up to 18 measures can be specified). Units are defined by the matching EffortUnits field.
EffortUnits10,EffortUnits10,BMDE2.00,101,No,50,xsd:string,Units of measurement for the matching effort field.
EffortMeasurement11,EffortMeasurement11,BMDE2.00,102,No,12,xsd:string,A measure of the effort that was devoted to the observation event (up to 18 measures can be specified). Units are defined by the matching EffortUnits field.
EffortUnits11,EffortUnits11,BMDE2.00,103,No,50,xsd:string,Units of measurement for the matching effort field.
EffortMeasurement12,EffortMeasurement12,BMDE2.00,104,No,12,xsd:string,A measure of the effort that was devoted to the observation event (up to 18 measures can be specified). Units are defined by the matching EffortUnits field.
EffortUnits12,EffortUnits12,BMDE2.00,105,No,50,xsd:string,Units of measurement for the matching effort field.
EffortMeasurement13,EffortMeasurement13,BMDE2.00,106,No,12,xsd:string,A measure of the effort that was devoted to the observation event (up to 18 measures can be specified). Units are defined by the matching EffortUnits field.
EffortUnits13,EffortUnits13,BMDE2.00,107,No,50,xsd:string,Units of measurement for the matching effort field.
EffortMeasurement14,EffortMeasurement14,BMDE2.00,108,No,12,xsd:string,A measure of the effort that was devoted to the observation event (up to 18 measures can be specified). Units are defined by the matching EffortUnits field.
EffortUnits14,EffortUnits14,BMDE2.00,109,No,50,xsd:string,Units of measurement for the matching effort field.
EffortMeasurement15,EffortMeasurement15,BMDE2.00,110,No,12,xsd:string,A measure of the effort that was devoted to the observation event (up to 18 measures can be specified). Units are defined by the matching EffortUnits field.
EffortUnits15,EffortUnits15,BMDE2.00,111,No,50,xsd:string,Units of measurement for the matching effort field.
EffortMeasurement16,EffortMeasurement16,BMDE2.00,112,No,12,xsd:string,A measure of the effort that was devoted to the observation event (up to 18 measures can be specified). Units are defined by the matching EffortUnits field.
EffortUnits16,EffortUnits16,BMDE2.00,113,No,50,xsd:string,Units of measurement for the matching effort field.
EffortMeasurement17,EffortMeasurement17,BMDE2.00,114,No,12,xsd:string,A measure of the effort that was devoted to the observation event (up to 18 measures can be specified). Units are defined by the matching EffortUnits field.
EffortUnits17,EffortUnits17,BMDE2.00,115,No,50,xsd:string,Units of measurement for the matching effort field.
EffortMeasurement18,EffortMeasurement18,BMDE2.00,116,No,12,xsd:string,A measure of the effort that was devoted to the observation event (up to 18 measures can be specified). Units are defined by the matching EffortUnits field.
EffortUnits18,EffortUnits18,BMDE2.00,117,No,50,xsd:string,Units of measurement for the matching effort field.
NoObservations,NoObservations,BMDE2.00,118,Strong,8,xsd:string,This field is used to indicate cases when no individuals (among all species targeted by the survey protocol) were detected during a sampling event (possible values: NoObs or blank). The taxon name fields for NoObs records should be left blank.
DistanceFromObserver,DistanceFromObserver,BMDE2.00,119,Numeric,12,xsd:string,"Distance (m) between observer and organism being observed. If the distance is evaluated within a range, use DistanceFromObserverMin and DistanceFromObserverMax instead."
DistanceFromObserverMin,DistanceFromObserverMin,BMDE2.00,120,Numeric,12,xsd:string,Minimum distance of a range (m) between the observer and the organism being observed.
DistanceFromObserverMax,DistanceFromObserverMax,BMDE2.00,121,Numeric,12,xsd:string,"Maximum distance of a range (m) between the observer and the organism being observed. Use the word ""Unlimited"" in cases where the range has an unlimited distance."
DistanceFromStart,DistanceFromStart,BMDE2.00,122,Numeric,12,xsd:string,Distance (m) between the point of the observation and the start of the observation event (only applicable to non-stationary censuses).
BearingInDegrees,BearingInDegrees,BMDE2.00,123,Degrees,12,xsd:string,"Bearing (angle in decimal degrees from  to 36) to the specimen, relative to an arbitrary bearing (e.g., north, direction of the transect or direction faced by the observer), ideally defined in the BMDR or the protocol."
SpecimenDecimalLatitude,SpecimenDecimalLatitude,BMDE2.00,124,NumericRange,12,xsd:double,"The latitude from which the individual record was collected, in cases where the main coordinates described above represent a centroid for the entire sampling event."
SpecimenDecimalLongitude,SpecimenDecimalLongitude,BMDE2.00,125,NumericRange,12,xsd:double,"The longitude from which the individual record was collected, in cases where the main coordinates described above represent a centroid for the entire sampling event."
SpecimenGeodeticDatum,SpecimenGeodeticDatum,BMDE2.00,126,Weak,12,xsd:string,"The geodetic datum to which the SpecimenDecimalLatitude and SpecimenDecimalLongitude refer. If not known, use ""not recorded"". This concept should be vocabulary-controlled."
SpecimenUTMZone,SpecimenUTMZone,BMDE2.00,127,IntegerRange,12,xsd:string,"The UTM zone from which the individual record was collected, in cases where the main coordinates described above represent a centroid for the entire sampling event."
SpecimenUTMNorthing,SpecimenUTMNorthing,BMDE2.00,128,NumericRange,12,xsd:string,"The UTM northing from which the individual record was collected, in cases where the main coordinates described above represent a centroid for the entire sampling event."
SpecimenUTMEasting,SpecimenUTMEasting,BMDE2.00,129,NumericRange,12,xsd:string,"The UTM easting from which the individual record was collected, in cases where the main coordinates described above represent a centroid for the entire sampling event."
ObservationCount,ObservationCount,BMDE2.00,130,Integer,12,xsd:string,"Number of individuals detected or observed during this observation event. In the case of presence/absence data, use 1 to indicate presence and indicate ""Presence/Absence"" under ObservationDescriptor"
ObservationDescriptor,ObservationDescriptor,BMDE2.00,131,No,64,xsd:string,"Descriptor that provides information on the type of count, the behavior or location of the individuals reported, using a standard vocabulary and/or format. Use ""Total Count"" if the ObservationCount field contains the total count of all records for a given species, or ""Presence/Absence"" if the data reflects presence absence. Distance or time intervals should be entered using this format: -1 m, >1 m, -2 min., 2-5 min., etc. Other values could include age or sex classes (Adults, Juveniles, 1st Year, After 2nd Year, Males, Females, etc.), site classes (Flyover, Outside Sampling Area, Offshore, Shoreline, Inland, etc.), behavior (Singing, Calling, Sleeping, Feeding, etc.)."
ObservationCount2,ObservationCount2,BMDE2.00,132,Integer,12,xsd:string,Number of individuals detected or observed during this observation event - up to 14 Counts and Descriptors can be attributed to this record.
ObservationDescriptor2,ObservationDescriptor2,BMDE2.00,133,No,50,xsd:string,"Descriptor that provides information on the behavior or location of the individuals reported, using a standard vocabulary and/or format. ""TotalCount"" should ideally be restricted to ObservationCount only. Distance or time intervals should be entered using this format: -1 m, >1 m, -2 min., 2-5 min., etc. Other values could include age or sex classes (Adults, Juveniles, 1st Year, After 2nd Year, Males, Females, etc.), site classes (Flyover, Outside Sampling Area, Offshore, Shoreline, Inland, etc.), behavior (Singing, Calling, Sleeping, Feeding, etc.)."
ObservationCount3,ObservationCount3,BMDE2.00,134,Integer,12,xsd:string,Number of individuals detected or observed during this observation event - up to 14 Counts and Descriptors can be attributed to this record.
ObservationDescriptor3,ObservationDescriptor3,BMDE2.00,135,No,50,xsd:string,"Descriptor that provides information on the behavior or location of the individuals reported, using a standard vocabulary and/or format. ""TotalCount"" should ideally be restricted to ObservationCount only. Distance or time intervals should be entered using this format: -1 m, >1 m, -2 min., 2-5 min., etc. Other values could include age or sex classes (Adults, Juveniles, 1st Year, After 2nd Year, Males, Females, etc.), site classes (Flyover, Outside Sampling Area, Offshore, Shoreline, Inland, etc.), behavior (Singing, Calling, Sleeping, Feeding, etc.)."
ObservationCount4,ObservationCount4,BMDE2.00,136,Integer,12,xsd:string,Number of individuals detected or observed during this observation event - up to 14 Counts and Descriptors can be attributed to this record.
ObservationDescriptor4,ObservationDescriptor4,BMDE2.00,137,No,50,xsd:string,"Descriptor that provides information on the behavior or location of the individuals reported, using a standard vocabulary and/or format. ""TotalCount"" should ideally be restricted to ObservationCount only. Distance or time intervals should be entered using this format: -1 m, >1 m, -2 min., 2-5 min., etc. Other values could include age or sex classes (Adults, Juveniles, 1st Year, After 2nd Year, Males, Females, etc.), site classes (Flyover, Outside Sampling Area, Offshore, Shoreline, Inland, etc.), behavior (Singing, Calling, Sleeping, Feeding, etc.)."
ObservationCount5,ObservationCount5,BMDE2.00,138,Integer,12,xsd:string,Number of individuals detected or observed during this observation event - up to 14 Counts and Descriptors can be attributed to this record.
ObservationDescriptor5,ObservationDescriptor5,BMDE2.00,139,No,50,xsd:string,"Descriptor that provides information on the behavior or location of the individuals reported, using a standard vocabulary and/or format. ""TotalCount"" should ideally be restricted to ObservationCount only. Distance or time intervals should be entered using this format: -1 m, >1 m, -2 min., 2-5 min., etc. Other values could include age or sex classes (Adults, Juveniles, 1st Year, After 2nd Year, Males, Females, etc.), site classes (Flyover, Outside Sampling Area, Offshore, Shoreline, Inland, etc.), behavior (Singing, Calling, Sleeping, Feeding, etc.)."
ObservationCount6,ObservationCount6,BMDE2.00,140,Integer,12,xsd:string,Number of individuals detected or observed during this observation event - up to 14 Counts and Descriptors can be attributed to this record.
ObservationDescriptor6,ObservationDescriptor6,BMDE2.00,141,No,64,xsd:string,"Descriptor that provides information on the behavior or location of the individuals reported, using a standard vocabulary and/or format. ""TotalCount"" should ideally be restricted to ObservationCount only. Distance or time intervals should be entered using this format: -1 m, >1 m, -2 min., 2-5 min., etc. Other values could include age or sex classes (Adults, Juveniles, 1st Year, After 2nd Year, Males, Females, etc.), site classes (Flyover, Outside Sampling Area, Offshore, Shoreline, Inland, etc.), behavior (Singing, Calling, Sleeping, Feeding, etc.)."
ObsCountAtLeast,ObsCountAtLeast,BMDE2.00,142,Integer,12,xsd:string,Low value of a range count of individuals detected or observed during this observation event.
ObsCountAtMost,ObsCountAtMost,BMDE2.00,143,Integer,12,xsd:string,High value of a range count of individuals detected or observed during this observation event.
ObservationDate,ObservationDate,BMDE2.00,144,ISO 8601,32,xsd:dateTime,"Full date-time of this observation event (ISO 861 Format). Not necessary if DarwinCore YearCollected, MonthCollected, DayCollected, TimeCollected fields are completed, or if precise time or date is unknown. "
DateUncertaintyInDays,DateUncertaintyInDays,BMDE2.00,145,Numeric,8,xsd:dateTime,"Uncertainty of the ObservationDate (decimal days), for cases where exact observation date is unknown."
AllIndividualsReported,AllIndividualsReported,BMDE2.00,146,Strong,8,xsd:string,"Whether the ObservationCount includes all individuals detected during the sampling event (vs. only presence for example, or partial counts)."
AllSpeciesReported,AllSpeciesReported,BMDE2.00,147,Strong,8,xsd:string,"Whether the ObservationCount for a given taxon includes all individuals that have been detected within a higher taxonomic group, such as the class (eg, all Birds, all Fishes, or all Butterflies), as defined in the field ProtocolSpeciesTargeted, or as defined by the protocol. ""No"" should be used to indicate that the sampling event should not be used to infer negative observations (the absence of the species not reported within the scope of the protocol)."
UTMZone,UTMZone,BMDE2.00,148,IntegerRange,2,xsd:string,The UTM zone of the location from which the organism was collected/observed.
UTMNorthing,UTMNorthing,BMDE2.00,149,NumericRange,12,xsd:string,The UTM northing value of the location from which the organism was collected/observed.
UTMEasting,UTMEasting,BMDE2.00,150,NumericRange,12,xsd:string,The UTM easting value of the location from which the organism was collected/observed.
CoordinatesUncertaintyInDecimalDegrees,CoordinatesUncertaintyInDecimalDegrees,BMDE2.00,151,Numeric,12,xsd:string,"The upper limit of the distance (in decimal degrees) from the given latitude and longitude describing a circle within which the whole of the described locality must lie. Leave blank where the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates)."
CommonName,CommonName,BMDE2.00,152,No,60,xsd:string,"Common vernacular name to describe the taxon (may be common name or other names that do not conform to a standard taxonomy). Whenever possible, the name should conform to the AKN/eBird taxonomy."
RecordPermissions,RecordPermissions,BMDE2.00,153,Strong,50,xsd:string,Permissions regarding the display and distribution of this record. Default value is 5 (public).
MultiScientificName1,MultiScientificName1,BMDE2.00,154,No,50,xsd:string,"Full scientific name of one of the possible taxa involved in this record, in cases where the record is one of several possible taxa. In cases of species grouping, the core taxonomic fields should only be provided if they apply to all possible taxa in the group. The various species that belong to this group should be listed for all records, even if some of them have not been actually detected in a specific record. Up to 6 member taxa can be recorded using the 6 MultiScientificName fields."
MultiScientificName2,MultiScientificName2,BMDE2.00,155,No,50,xsd:string,"Full scientific name of one of the possible taxa involved in this record, in cases where the record is one of several possible taxa. In cases of species grouping, the core taxonomic fields should only be provided if they apply to all possible taxa in the group. The various species that belong to this group should be listed for all records, even if some of them have not been actually detected in a specific record. Up to 6 member taxa can be recorded using the 6 MultiScientificName fields."
MultiScientificName3,MultiScientificName3,BMDE2.00,156,No,50,xsd:string,"Full scientific name of one of the possible taxa involved in this record, in cases where the record is one of several possible taxa. In cases of species grouping, the core taxonomic fields should only be provided if they apply to all possible taxa in the group. The various species that belong to this group should be listed for all records, even if some of them have not been actually detected in a specific record. Up to 6 member taxa can be recorded using the 6 MultiScientificName fields."
MultiScientificName4,MultiScientificName4,BMDE2.00,157,No,50,xsd:string,"Full scientific name of one of the possible taxa involved in this record, in cases where the record is one of several possible taxa. In cases of species grouping, the core taxonomic fields should only be provided if they apply to all possible taxa in the group. The various species that belong to this group should be listed for all records, even if some of them have not been actually detected in a specific record. Up to 6 member taxa can be recorded using the 6 MultiScientificName fields."
MultiScientificName5,MultiScientificName5,BMDE2.00,158,No,50,xsd:string,"Full scientific name of one of the possible taxa involved in this record, in cases where the record is one of several possible taxa. In cases of species grouping, the core taxonomic fields should only be provided if they apply to all possible taxa in the group. The various species that belong to this group should be listed for all records, even if some of them have not been actually detected in a specific record. Up to 6 member taxa can be recorded using the 6 MultiScientificName fields."
MultiScientificName6,MultiScientificName6,BMDE2.00,159,No,50,xsd:string,"Full scientific name of one of the possible taxa involved in this record, in cases where the record is one of several possible taxa. In cases of species grouping, the core taxonomic fields should only be provided if they apply to all possible taxa in the group. The various species that belong to this group should be listed for all records, even if some of them have not been actually detected in a specific record. Up to 6 member taxa can be recorded using the 6 MultiScientificName fields."
TaxonomicAuthorityAuthors,TaxonomicAuthorityAuthors,BMDE2.00,160,Weak,64,xsd:string,Name of the author(s) who published the taxonomic authority used for this record.
TaxonomicAuthorityVersion,TaxonomicAuthorityVersion,BMDE2.00,161,No,32,xsd:string,Version number (including minor version or supplement number) of the taxonomic authority
TaxonomicAuthorityYear,TaxonomicAuthorityYear,BMDE2.00,162,No,12,xsd:string,"Year of publication of the taxonomic authority, including minor version and supplement."
SpeciesCode,SpeciesCode,BMDE2.00,163,No,12,xsd:string,Alphanumerical code describing a species in the native database. Should only be provided when species codes were used to describe species in the original database.
TaxonConceptID,TaxonConceptID,BMDE2.00,164,No,50,xsd:string,A unique identifier for the taxon concept (a circumscription of a taxonName).
BreedingBirdAtlasCode,BreedingBirdAtlasCode,BMDE2.00,165,Weak,12,xsd:string,"Breeding Bird Atlas evidence code, using North American Atlas Committee standards. See https://www.birdscanada.org/norac/"
HabitatDescription,HabitatDescription,BMDE2.00,166,No,-1,xsd:string,General description of the habitat within the survey area.
Remarks2,Remarks2,BMDE2.00,167,No,-1,xsd:string,"Additional remarks field, not already included in Remarks."
LastModifiedAction,LastModifiedAction,BMDE2.00,168,Strong,12,xsd:string,The last action that was taken on this record at DateLastModified.
RecordReviewStatus,RecordReviewStatus,BMDE2.00,169,Weak,12,xsd:string,Current review status or decision regarding this individual record.
